peptideId	arabi-defline
NO01G01070	histone methyltransferases(H3-K4 specific);histone methyltransferases(H3-K36 specific)
NO01G01080	thiamin pyrophosphokinase 2
NO01G01100	UDP-sugar pyrophosphorylase
NO01G01130	DHBP synthase RibB-like alpha/beta domain;GTP cyclohydrolase II
NO01G01150	DNA-directed RNA polymerase family protein
NO01G01190	DP-E2F-like 1
NO01G01210	Cyclin family protein
NO01G01220	phytanoyl-CoA dioxygenase (PhyH) family protein
NO01G01240	beta carbonic anhydrase 4
NO01G01270	Protein kinase superfamily protein
NO01G01290	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: vacuole; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT4G27020.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO01G01300	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: mitosis; LOCATED IN: plasma membrane; EXPRESSED IN: cultured cell; CONTAINS InterPro DOMAIN/s: Kinetochore protein Nuf2 (InterPro:IPR005549); Has 50972 Blast hits to 29793 proteins in 2070 species: Archae - 902; Bacteria - 7404; Metazoa - 23628; Fungi - 4156; Plants - 2312; Viruses - 158; Other Eukaryotes - 12412 (source: NCBI BLink).
NO01G01320	MAP kinase 4
NO01G01340	NAD(P)-binding Rossmann-fold superfamily protein
NO01G01360	dehydroascorbate reductase 2
NO01G01390	Mitochondrial substrate carrier family protein
NO01G01400	ABI3-interacting protein 3
NO01G01410	vesicle-associated membrane protein 724
NO01G01420	ATP-citrate lyase B-1
NO01G01440	Transcription elongation factor (TFIIS) family protein
NO01G01460	NAD(P)-binding Rossmann-fold superfamily protein
NO01G01470	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: integral to membrane; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 15 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF846, eukaryotic (InterPro:IPR008564); Has 518 Blast hits to 518 proteins in 206 species: Archae - 0; Bacteria - 0; Metazoa - 193; Fungi - 145; Plants - 73; Viruses - 0; Other Eukaryotes - 107 (source: NCBI BLink).
NO01G01530	succinate dehydrogenase 1-2
NO01G01540	Histidine kinase-, DNA gyrase B-, and HSP90-like ATPase family protein
NO01G01580	Pyridoxal-5'-phosphate-dependent enzyme family protein
NO01G01590	DNA glycosylase superfamily protein
NO01G01600	Pentatricopeptide repeat (PPR-like) superfamily protein
NO01G01640	Eukaryotic rpb5 RNA polymerase subunit family protein
NO01G01670	Myotubularin-like phosphatases II superfamily
NO01G01680	nucleotide binding;nucleic acid binding;RNA binding
NO01G01690	nucleotide binding;nucleic acid binding;RNA binding
NO01G01710	glutathione peroxidase 6
NO01G01730	Peptide-N4-(N-acetyl-beta-glucosaminyl)asparagine amidase A protein
NO01G01740	RAB GTPase homolog A1B
NO01G01760	myo-inositol-1-phosphate synthase 2
NO01G01770	Lysyl-tRNA synthetase, class II
NO01G01790	ribonuclease P family protein / Rpp14 family protein
NO01G01810	DEA(D/H)-box RNA helicase family protein
NO01G01830	UDP-D-glucuronate 4-epimerase 4
NO01G01840	cell division cycle 5
NO01G01850	cell division cycle 5
NO01G01860	PPPDE putative thiol peptidase family protein
NO01G01880	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO01G01890	methylenetetrahydrofolate reductase 1
NO01G01910	ATP12 protein-related
NO01G01920	Nucleotide/sugar transporter family protein
NO01G01960	HIS triad family protein 3
NO01G01980	ERD (early-responsive to dehydration stress) family protein
NO01G02030	SCP1-like small phosphatase 5
NO01G02050	Endomembrane protein 70 protein family
NO01G02060	cyclophilin 59
NO01G02090	phototropin 1
NO01G02110	serine racemase
NO01G02120	sirohydrochlorin ferrochelatase B
NO01G02150	Mitochondrial substrate carrier family protein
NO01G02160	partner of SLD five 1
NO01G02170	MAP kinase 4
NO01G02190	serine hydroxymethyltransferase 4
NO01G02200	oxidoreductase, zinc-binding dehydrogenase family protein
NO01G02210	Protein kinase superfamily protein
NO01G02230	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO01G02250	ARF GAP-like zinc finger-containing protein ZIGA4
NO01G02260	GDA1/CD39 nucleoside phosphatase family protein
NO01G02280	AAA-type ATPase family protein / ankyrin repeat family protein
NO01G02290	DEAD-box protein abstrakt, putative
NO01G02310	Pyridoxal-dependent decarboxylase family protein
NO01G02320	Nucleoside diphosphate kinase family protein
NO01G02330	secE/sec61-gamma protein transport protein
NO01G02360	Nucleotidyltransferase family protein
NO01G02390	Phospholipid/glycerol acyltransferase family protein
NO01G02400	sucrose-proton symporter 9
NO01G02480	RNA helicase family protein
NO01G02520	Clathrin, heavy chain
NO01G02530	zinc finger (C3HC4-type RING finger) family protein
NO01G02630	sulfoquinovosyldiacylglycerol 2
NO01G02650	LisH/CRA/RING-U-box domains-containing protein
NO01G02690	Glycosyl hydrolase family protein
NO01G02700	Nucleotide-sugar transporter family protein
NO01G02710	high chlorophyll fluorescent 107
NO01G02720	elongation factor Ts family protein
NO01G02730	DNAse I-like superfamily protein
NO01G02740	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: endomembrane system; EXPRESSED IN: 24 plant structures; EXPRESSED DURING: 13 growth stages; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT5G25265.1); Has 374 Blast hits to 211 proteins in 23 species: Archae - 0; Bacteria - 0; Metazoa - 0; Fungi - 0; Plants - 316; Viruses - 0; Other Eukaryotes - 58 (source: NCBI BLink).
NO01G02760	CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF2451, C-terminal (InterPro:IPR019514), Vacuolar protein sorting-associated protein 54 (InterPro:IPR019515); Has 316 Blast hits to 252 proteins in 92 species: Archae - 0; Bacteria - 2; Metazoa - 200; Fungi - 2; Plants - 68; Viruses - 0; Other Eukaryotes - 44 (source: NCBI BLink).
NO01G02770	Sec14p-like phosphatidylinositol transfer family protein
NO01G02820	Major facilitator superfamily protein
NO01G02830	calcium-dependent protein kinase 19
NO01G02850	minichromosome maintenance 9
NO01G02860	gamma-tubulin  complex protein 2
NO01G02870	tRNA synthetase class I (I, L, M and V) family protein
NO01G02890	protein phosphatase 5.2
NO01G02900	HCO3- transporter family
NO01G02910	Amidase family protein
NO01G02920	syntaxin of plants 61
NO01G02960	RING/U-box superfamily protein
NO01G02990	Methyltransferase family protein
NO01G03000	Pseudouridine synthase family protein
NO01G03020	electron transfer flavoprotein alpha
NO01G03100	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO01G03110	serine hydroxymethyltransferase 4
NO01G03120	phosphatidyl inositol monophosphate 5 kinase
NO01G03140	small and basic intrinsic protein 1A
NO01G03150	metallopeptidase M24 family protein
NO01G03160	Molybdenum cofactor sulfurase family protein
NO01G03170	Aldolase superfamily protein
NO01G03210	damaged DNA binding;DNA-directed DNA polymerases
NO01G03240	electron-transfer flavoprotein:ubiquinone oxidoreductase
NO01G03330	chloroplast heat shock protein 70-1
NO01G03350	septum site-determining protein (MIND)
NO01G03380	tRNA/rRNA methyltransferase (SpoU) family protein
NO01G03410	S-adenosylmethionine carrier 1
NO01G03430	chloroplast sulfur E
NO01G03440	acclimation of photosynthesis to  environment
NO01G03490	calpain-type cysteine protease family
NO01G03500	nucleotide transporter 1
NO01G03510	SNARE-like superfamily protein
NO01G03520	GLU-ADT subunit B
NO01G03530	P450 reductase 2
NO01G03540	ARM repeat superfamily protein
NO01G03550	Beige/BEACH domain ;WD domain, G-beta repeat protein
NO01G03560	methyltransferases
NO01G03570	MUTL protein homolog 3
NO01G03580	calcium-dependent protein kinase 29
NO01G03590	GC-rich sequence DNA-binding factor-like protein
NO01G03600	translocase inner membrane subunit 17-1
NO01G03630	AMP deaminase, putative / myoadenylate deaminase, putative
NO01G03660	BRCA2-like B
NO01G03670	Protein kinase superfamily protein
NO01G03680	Peptide chain release factor 1
NO01G03700	splicing factor-related
NO01G03740	Zinc finger, C3HC4 type (RING finger) family protein
NO01G03770	Cyclin-like family protein
NO01G03780	20S proteasome beta subunit G1
NO01G03790	Regulator of Vps4 activity in the MVB pathway protein
NO01G03810	high chlorophyll fluorescence phenotype 173
NO01G03820	Restriction endonuclease, type II-like superfamily protein
NO01G03840	Ribosomal protein S11 family protein
NO01G03850	Trm112p-like protein
NO01G03860	Ribosomal L29e protein family
NO01G03900	ARM repeat protein interacting with  ABF2
NO01G03910	heat shock factor 1
NO01G03920	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
NO01G03940	pyruvate dehydrogenase complex E1 alpha subunit
NO01G03960	mannose-1-phosphate guanylyltransferase (GDP)s;GDP-galactose:mannose-1-phosphate guanylyltransferases;GDP-galactose:glucose-1-phosphate guanylyltransferases;GDP-galactose:myoinositol-1-phosphate guanylyltransferases;glucose-1-phosphate guanylyltransferase
NO01G03980	FUNCTIONS IN: molecular_function unknown; INVOLVED IN: rRNA processing; LOCATED IN: cytosol, nucleolus, nucleus; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 12 growth stages; CONTAINS InterPro DOMAIN/s: U3 small nucleolar ribonucleoprotein complex, subunit Mpp10p (InterPro:IPR012173), Mpp10 protein (InterPro:IPR007151); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO01G03990	Ubiquitin C-terminal hydrolases superfamily protein
NO01G04010	Aldolase-type TIM barrel family protein
NO01G04040	sirtuin 2
NO01G04060	Rab escort protein
NO01G04090	tubulin folding cofactor E / Pfifferling (PFI)
NO01G04110	acetyl-CoA synthetase
NO01G04120	signal recognition particle receptor protein, chloroplast (FTSY)
NO01G04130	Protein of unknown function (DUF300)
NO01G04150	homologue of NAP57
NO01G04160	Galactose mutarotase-like superfamily protein
NO01G04190	plasma membrane intrinsic protein 2;5
NO01G04220	diacylglycerol acyltransferase family
NO01G04230	protein phosphatase X 2
NO01G04250	Transducin/WD40 repeat-like superfamily protein
NO01G04260	Mannose-P-dolichol utilization defect 1 protein
NO01G04280	Transducin/WD40 repeat-like superfamily protein
NO01G04290	Transcription factor GTE6
NO01G04310	Regulator of chromosome condensation (RCC1) family protein
NO01G04340	FK506-binding protein 15 kD-1
NO01G04350	Kua-ubiquitin conjugating enzyme hybrid localisation domain
NO01G04360	alpha/beta-Hydrolases superfamily protein
NO01G04380	Thioredoxin superfamily protein
NO01G04420	Phosphoglycerate mutase family protein
NO01G04440	Small nuclear ribonucleoprotein family protein
NO01G04480	NAD(P)-binding Rossmann-fold superfamily protein
NO01G04490	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO01G04510	nucleotide transporter 1
NO01G04520	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO01G04580	methionyl-tRNA synthetase / methionine--tRNA ligase / MetRS (cpMetRS)
NO01G04600	Ankyrin repeat family protein
NO01G04620	decapping 5-like
NO01G04630	glutathione reductase
NO01G04640	acetoacetyl-CoA thiolase 2
NO01G04670	Fatty acid/sphingolipid desaturase
NO01G04680	homolog of mamallian P58IPK
NO01G04700	Cation efflux family protein
NO01G04720	glycoprotease 1
NO01G04750	NAD-dependent glycerol-3-phosphate dehydrogenase family protein
NO01G04770	anaphase promoting complex 10
NO01G04780	carbamoyl phosphate synthetase B
NO01G04790	Homeodomain-like superfamily protein
NO01G04800	transferases;tRNA (5-methylaminomethyl-2-thiouridylate)-methyltransferases
NO01G04820	CDK inhibitor P21 binding protein
NO01G04840	glycosyl hydrolase family 81 protein
NO01G04860	cyclophilin 38
NO01G04870	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO01G04880	phototropin 2
NO01G04920	Class II aaRS and biotin synthetases superfamily protein
NO01G04930	aldehyde dehydrogenase 11A3
NO01G04940	calcium-dependent protein kinase 14
NO01G04950	isovaleryl-CoA-dehydrogenase
NO01G04980	ubiquitin 6
NO01G05000	myo-inositol-1-phosphate synthase 2
NO01G05010	Sugar isomerase (SIS) family protein
NO01G05020	succinate dehydrogenase 2-2
NO01G05050	Class II aaRS and biotin synthetases superfamily protein
NO01G05060	catalytics;hydrolases
NO01G05070	Cytidine/deoxycytidylate deaminase family protein
NO01G05090	Phosphoenolpyruvate carboxylase family protein
NO01G05120	small ubiquitin-like modifier 1
NO01G05130	Nucleotidylyl transferase superfamily protein
NO01G05140	Alg9-like mannosyltransferase family
NO01G05170	Transducin/WD40 repeat-like superfamily protein
NO01G05200	formate dehydrogenase
NO01G05210	NAD(P)-binding Rossmann-fold superfamily protein
NO01G05220	AMP-dependent synthetase and ligase family protein
NO01G05230	S-adenosyl-L-methionine-dependent methyltransferases superfamily protein
NO01G05240	carotenoid cleavage dioxygenase 1
NO01G05250	GNS1/SUR4 membrane protein family
NO01G05330	branched-chain amino acid aminotransferase 5 / branched-chain amino acid transaminase 5 (BCAT5)
NO01G05350	SNARE-like superfamily protein
NO01G05380	transporter associated with antigen processing protein 2
NO01G05460	calmodulin binding;purine nucleotide binding
NO01G05480	Mitochondrial substrate carrier family protein
NO01G05510	nucleotide repair protein, putative
NO01G05520	Protein of unknown function (DUF1350)
NO01G05540	Phosphoinositide phosphatase family protein
NO01G05560	autoinhibited Ca(2+)-ATPase, isoform 4
NO01G05590	target of rapamycin
NO01G05600	Got1/Sft2-like vescicle transport protein family
NO01G05620	SAC3/GANP/Nin1/mts3/eIF-3 p25 family
NO01G05640	Pentatricopeptide repeat (PPR-like) superfamily protein
NO01G05660	Amino acid dehydrogenase family protein
NO01G05690	chorismate synthase, putative / 5-enolpyruvylshikimate-3-phosphate phospholyase, putative
NO01G05700	CBL-interacting protein kinase 23
NO01G05710	3'-5'-exoribonuclease family protein
NO01G05730	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; EXPRESSED IN: 25 plant structures; EXPRESSED DURING: 14 growth stages; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF926 (InterPro:IPR009269); Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO01G05740	co-factor for nitrate, reductase and xanthine dehydrogenase 5
NO01G05750	co-factor for nitrate, reductase and xanthine dehydrogenase 5
NO01G05860	phosphoribosyl pyrophosphate (PRPP) synthase 2
NO01G05890	Ankyrin repeat family protein with DHHC zinc finger domain
NO02G00020	Calcium-binding endonuclease/exonuclease/phosphatase family
NO02G00030	indigoidine synthase A family protein
NO02G00050	Protein-tyrosine phosphatase-like, PTPLA
NO02G00070	RAN GTPase activating protein 1
NO02G00100	alanine:glyoxylate aminotransferase 3
NO02G00110	transducin family protein / WD-40 repeat family protein
NO02G00120	triglyceride lipases;triglyceride lipases
NO02G00180	Galactose oxidase/kelch repeat superfamily protein
NO02G00220	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
NO02G00240	golgi alpha-mannosidase II
NO02G00280	glyoxalase II  3
NO02G00290	alternative oxidase 1A
NO02G00330	NIMA-related kinase 4
NO02G00350	P-loop nucleoside triphosphate hydrolases superfamily protein with CH (Calponin Homology) domain
NO02G00360	DNA primases
NO02G00410	PDI-like 5-2
NO02G00450	general transcription factor II H2
NO02G00460	Pyridoxamine 5'-phosphate oxidase family protein
NO02G00490	fibrillarin 1
NO02G00500	poly(A) binding protein 8
NO02G00530	CBS domain-containing protein with a domain of unknown function (DUF21)
NO02G00550	myb-like transcription factor family protein
NO02G00560	Ribosomal protein S5 domain 2-like superfamily protein
NO02G00570	tRNA/rRNA methyltransferase (SpoU) family protein
NO02G00590	SAC3/GANP/Nin1/mts3/eIF-3 p25 family
NO02G00600	SNF1 kinase homolog 10
NO02G00630	WD-40 repeat family protein / beige-related
NO02G00650	Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein
NO02G00680	BolA-like family protein
NO02G00690	DNA binding
NO02G00700	tubulin-tyrosine ligases;tubulin-tyrosine ligases
NO02G00710	TatD related DNase
NO02G00720	Glycosyl hydrolase superfamily protein
NO02G00790	RNA binding
NO02G00810	GTP-binding family protein
NO02G00830	Peroxisomal membrane 22 kDa (Mpv17/PMP22) family protein
NO02G00840	Coatomer, beta subunit
NO02G00850	unknown protein; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G03055.1); Has 146 Blast hits to 146 proteins in 26 species: Archae - 0; Bacteria - 6; Metazoa - 0; Fungi - 0; Plants - 125; Viruses - 0; Other Eukaryotes - 15 (source: NCBI BLink).
NO02G00870	RNA helicase family protein
NO02G00880	P-loop containing nucleoside triphosphate hydrolases superfamily protein
NO02G00890	Protein phosphatase 2C family protein
NO02G00900	Protein of unknown function (DUF2012)
NO02G00920	unknown protein; CONTAINS InterPro DOMAIN/s: Protein of unknown function DUF1754, eukaryotic (InterPro:IPR013865); Has 395 Blast hits to 394 proteins in 162 species: Archae - 0; Bacteria - 0; Metazoa - 181; Fungi - 91; Plants - 65; Viruses - 0; Other Eukaryotes - 58 (source: NCBI BLink).
NO02G00930	Leucine carboxyl methyltransferase
NO02G00950	phosphoribosylaminoimidazole carboxylase, putative / AIR carboxylase, putative
NO02G00960	Major facilitator superfamily protein
NO02G00970	pyrroline-5- carboxylate (P5C) reductase
NO02G00980	FKBP-like peptidyl-prolyl cis-trans isomerase family protein
NO02G01020	HIT-type Zinc finger family protein
NO02G01030	FAD/NAD(P)-binding oxidoreductase family protein
NO02G01040	myb domain protein 98
NO02G01060	RAB GTPase homolog E1B
NO02G01070	Cell differentiation, Rcd1-like protein
NO02G01090	malate synthase
NO02G01100	haloacid dehalogenase-like hydrolase family protein
NO02G01140	cytochrome P450, family 97, subfamily A, polypeptide 3
NO02G01160	Rubisco methyltransferase family protein
NO02G01170	UDP-glucose pyrophosphorylase 2
NO02G01200	Radical SAM superfamily protein
NO02G01210	Ankyrin repeat family protein with DHHC zinc finger domain
NO02G01220	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast; BEST Arabidopsis thaliana protein match is: unknown protein (TAIR:AT1G65000.1); Has 1807 Blast hits to 1807 proteins in 277 species: Archae - 0; Bacteria - 0; Metazoa - 736; Fungi - 347; Plants - 385; Viruses - 0; Other Eukaryotes - 339 (source: NCBI BLink).
NO02G01230	UDP-galactose transporter 5
NO02G01240	unknown protein; Has 637 Blast hits to 635 proteins in 201 species: Archae - 0; Bacteria - 291; Metazoa - 0; Fungi - 72; Plants - 72; Viruses - 0; Other Eukaryotes - 202 (source: NCBI BLink).
NO02G01250	related to ubiquitin 1
NO02G01260	HEAT repeat ;WD domain, G-beta repeat protein protein
NO02G01270	HEAT repeat ;WD domain, G-beta repeat protein protein
NO02G01280	syntaxin  of plants 111
NO02G01290	Metallopeptidase M24 family protein
NO02G01330	alpha/beta-Hydrolases superfamily protein
NO02G01350	ARF-GAP domain 7
NO02G01370	DNAJ heat shock family protein
NO02G01380	DHHC-type zinc finger family protein
NO02G01400	4-phospho-panto-thenoylcysteine synthetase
NO02G01420	D-3-phosphoglycerate dehydrogenase
NO02G01430	SNF2 domain-containing protein / helicase domain-containing protein
NO02G01440	Protein of unknown function (DUF1336)
NO02G01470	RNA-binding (RRM/RBD/RNP motifs) family protein
NO02G01480	LYR family of Fe/S cluster biogenesis protein
NO02G01500	methionine aminopeptidase 1A
NO02G01510	Plant stearoyl-acyl-carrier-protein desaturase family protein
NO02G01520	glutaredoxin-related
NO02G01550	histidine kinase 2
NO02G01560	beta-ketoacyl reductase 2
NO02G01570	unknown protein; FUNCTIONS IN: molecular_function unknown; INVOLVED IN: biological_process unknown; LOCATED IN: chloroplast stroma; EXPRESSED IN: 22 plant structures; EXPRESSED DURING: 13 growth stages; Has 57 Blast hits to 57 proteins in 22 species: Archae - 0; Bacteria - 8; Metazoa - 0; Fungi - 0; Plants - 35; Viruses - 0; Other Eukaryotes - 14 (source: NCBI BLink).
NO02G01600	Protein of unknown function (DUF1279)
NO02G01610	NAD(P)-binding Rossmann-fold superfamily protein
NO02G01640	thioredoxin F2
NO02G01660	rhamnose biosynthesis 3
NO02G01680	Polynucleotidyl transferase, ribonuclease H-like superfamily protein
NO02G01700	NAD(P)-binding Rossmann-fold superfamily protein
NO02G01710	TBP-associated factor 5
NO02G01720	ARM repeat superfamily protein
NO02G01740	light-harvesting chlorophyll B-binding protein 3
NO02G01760	nucleotide binding protein 35
NO02G01780	syntaxin of plants 41
NO02G01790	molybdenum cofactor sulfurase (LOS5) (ABA3)
NO02G01810	tRNA arginine adenosine deaminase
NO02G01830	DHHC-type zinc finger family protein
NO02G01840	Transducin/WD40 repeat-like superfamily protein
NO02G01860	Nucleotide-diphospho-sugar transferases superfamily protein
NO02G01870	RNA helicase 36
NO02G01880	metallo-beta-lactamase family protein
NO02G01890	RNA-binding (RRM/RBD/RNP motifs) family protein
NO02G01900	unknown protein; Has 380 Blast hits to 268 proteins in 109 species: Archae - 0; Bacteria - 0; Metazoa - 245; Fungi - 73; Plants - 49; Viruses - 0; Other Eukaryotes - 13 (source: NCBI BLink).
NO02G01920	golgi nucleotide sugar transporter 1
NO02G01930	glucose 6-phosphate/phosphate translocator 1
NO02G01940	RAS-related nuclear protein-1
NO02G01950	phosphate transporter 3;2
NO02G01990	circadian clock associated 1
NO02G02010	mitochondrial lipoamide dehydrogenase 1
NO02G02020	Proteasome component (PCI) domain protein
NO02G02040	Peptidase C78, ubiquitin fold modifier-specific peptidase 1/ 2
NO02G02060	Zinc finger C-x8-C-x5-C-x3-H type family protein
NO02G02070	Cysteinyl-tRNA synthetase, class Ia family protein
NO02G02090	decapping 1
NO02G02100	HSP20-like chaperones superfamily protein
NO02G02120	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO02G02150	Protein Transporter, Pam16
NO02G02170	NAD(P)-linked oxidoreductase superfamily protein
NO02G02180	ARM repeat superfamily protein
NO02G02210	Transducin family protein / WD-40 repeat family protein
NO02G02220	alpha/beta-Hydrolases superfamily protein
NO02G02230	protein serine/threonine kinases;protein tyrosine kinases;ATP binding;protein kinases
NO02G02240	DNA/RNA polymerases superfamily protein
NO02G02250	Haloacid dehalogenase-like hydrolase (HAD) superfamily protein
NO02G02290	UDP-Glycosyltransferase superfamily protein
NO02G02300	NADH-ubiquinone dehydrogenase, mitochondrial, putative
NO02G02310	RNA-binding (RRM/RBD/RNP motifs) family protein
NO02G02350	importin alpha isoform 2
NO02G02370	Glycosyl hydrolase superfamily protein
NO02G02380	actin-related protein 6
NO02G02400	FAD/NAD(P)-binding oxidoreductase family protein
NO02G02410	Translation initiation factor IF6
NO02G02420	Cleavage and polyadenylation specificity factor (CPSF) A subunit protein
NO02G02430	acyl-CoA oxidase 1
NO02G02440	phosphatidyl inositol monophosphate 5 kinase 4
NO02G02450	Iron-sulphur cluster biosynthesis family protein
NO02G02460	pyrroline-5- carboxylate (P5C) reductase
NO02G02470	Protein kinase superfamily protein
NO02G02490	ABC-2 type transporter family protein
NO02G02530	NAD(P)-linked oxidoreductase superfamily protein
NO02G02540	Class II aminoacyl-tRNA and biotin synthetases superfamily protein
NO02G02560	unknown protein; Has 30201 Blast hits to 17322 proteins in 780 species: Archae - 12; Bacteria - 1396; Metazoa - 17338; Fungi - 3422; Plants - 5037; Viruses - 0; Other Eukaryotes - 2996 (source: NCBI BLink).
NO02G02570	unknown protein; Has 637 Blast hits to 635 proteins in 201 species: Archae - 0; Bacteria - 291; Metazoa - 0; Fungi - 72; Plants - 72; Viruses - 0; Other Eukaryotes - 202 (source: NCBI BLink).
NO02G02580	Mitochondrial ribosomal protein L27
NO02G02590	debranching enzyme 1
NO02G02600	syntaxin of plants 71
NO02G02640	NFU domain protein 4
NO02G02660	general regulatory factor 3
NO02G02670	DNAJ heat shock family protein
NO02G02680	20S proteasome alpha subunit C1
NO02G02730	UDP-galactose transporter 2
NO02G02740	Cysteine proteinases superfamily protein
NO02G02780	global transcription factor C
NO02G02800	casein kinase II  beta subunit 4
NO02G02810	ribosomal protein L24
NO02G02840	hypoxia-responsive family protein / zinc finger (C3HC4-type RING finger) family protein
NO02G02880	uricase / urate oxidase / nodulin 35, putative
NO02G02890	Tetratricopeptide repeat (TPR)-like superfamily protein
NO02G02900	N-terminal nucleophile aminohydrolases (Ntn hydrolases) superfamily protein
NO02G02930	pleiotropic regulatory locus 1
NO02G02950	Insulinase (Peptidase family M16) protein
NO02G02960	RAB GTPASE HOMOLOG B18
